income,savings,debt_ratio,payment_history,transaction_volatility,account_age_years,credit_rating
57155.27,13078.6,0.4365,55.14,13.85,4.31,0
70193.77,18830.08,0.2499,78.6,19.8,2.59,1
53703.83,15999.27,0.6042,89.95,7.69,1.64,0
51201.15,9314.57,0.5525,58.38,15.66,3.76,0
39644.43,8897.37,0.4466,76.25,7.79,11.83,0
65894.81,8391.62,0.4429,56.49,9.53,13.68,0
38462.65,9316.91,0.3913,67.43,10.14,2.83,0
72739.09,12484.35,0.5255,61.65,11.44,5.32,0
86760.7,18895.49,0.2666,81.03,24.99,6.44,1
64153.35,19305.48,0.7457,61.82,9.25,4.33,0
48769.68,13627.48,0.6759,87.17,14.54,10.27,0
66553.01,14451.13,0.0302,68.31,27.08,3.79,1
48312.51,8267.63,0.1713,62.26,19.52,3.39,1
81472.29,12579.2,0.3777,53.2,2.58,2.93,0
25486.34,9398.45,0.5067,75.8,3.57,4.31,0
47769.06,5372.86,0.1683,85.43,17.16,0.53,1
23835.88,9735.82,0.5122,76.1,8.88,4.44,0
29353.38,3572.48,0.2281,100.0,3.1,5.52,1
