transaction_amount,weekend_transaction,manual_approval_missing,prior_exceptions,country_risk,years_with_supplier,high_risk,annual_loss
2294.7,1,0,1,High,5.1,1,2262.25
1243.7,0,0,4,Low,13.5,0,2571.21
4337.87,0,0,1,Low,6.6,0,860.64
3845.12,0,0,2,Low,3.2,0,1493.64
1959.15,0,0,2,Low,11.0,0,711.86
1353.32,1,0,1,Low,7.4,0,476.17
3331.98,1,0,1,Medium,3.3,0,1364.6
2542.7,1,1,1,Low,9.9,0,2243.64
745.39,0,0,1,Low,1.5,0,375.77
2098.58,0,0,1,Low,1.9,0,278.11
2687.93,0,0,0,Low,1.1,0,623.66
1124.65,0,0,1,High,0.7,0,1863.19
2546.26,0,0,3,Low,9.5,0,2211.8
741.65,0,0,0,High,5.2,0,1496.48
6015.77,0,0,0,Low,1.2,0,1125.3
5630.55,1,0,3,Low,4.4,0,2269.74
1827.33,0,0,2,Low,8.0,0,363.75
2900.36,0,0,0,Low,2.6,0,23.19
362.33,0,0,1,Medium,3.6,0,339.22
927.73,0,0,4,Low,14.5,0,722.26
1771.65,0,0,0,Low,3.8,0,911.52
988.21,0,0,0,Medium,1.3,0,878.7
3773.65,0,0,1,Medium,3.1,0,1217.88
9877.08,0,0,0,High,1.1,0,515.4
913.73,1,0,0,High,7.0,0,2794.47
1178.39,0,0,1,Medium,2.3,0,500.64
2634.86,0,0,0,Medium,2.3,0,1962.94
7393.36,0,0,3,Medium,15.3,0,1150.45
882.91,0,0,0,Low,1.7,0,0.0
2661.85,0,0,3,Medium,1.5,0,404.76
8655.71,0,0,0,Low,2.0,0,1155.07
639.82,0,0,0,Medium,8.2,0,89.1
844.88,0,0,5,High,6.4,1,2918.99
1607.27,0,1,0,Low,3.0,0,207.63
1494.52,0,0,2,Medium,2.8,0,1702.16
4062.08,1,0,2,High,6.1,1,3695.65
2647.17,0,0,1,Low,5.3,0,1791.92
583.34,0,0,0,Low,4.0,0,13.7
